"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @muscatphoto: I was just scrolling my Twitter wall and I found that people Made up their mind to make Shree @RahulGandhi next PM of Indi…",FALSE,0,NA,2020-06-01 12:33:10,FALSE,NA,"1267434010835161089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JasperEKJ",2,TRUE,FALSE,NA,NA
"2","I was just scrolling my Twitter wall and I found that people Made up their mind to make Shree @RahulGandhi next PM… https://t.co/dWCQIYJQCE",FALSE,0,NA,2020-06-01 12:33:10,TRUE,NA,"1267434008616501248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rajanbhamba",0,FALSE,FALSE,NA,NA
"3","#<U+092A><U+0926><U+094B><U+0928><U+094D><U+0928><U+0924><U+093F>_<U+0905><U+0928><U+0941><U+092A><U+093E><U+0924>_<U+0928><U+0939><U+0940><U+0902>_<U+092C><U+0926><U+0932><U+0947><U+0902>Hono.
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain '… https://t.co/rnwcNAFDul",FALSE,0,NA,2020-06-01 12:33:06,TRUE,NA,"1267433991675789312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jyotilalit2",0,FALSE,FALSE,NA,NA
"4","RT @Bharatl32994982: Ophthalmic assistant promotion     @ashokgehlot51 @RaghusharmaINC  @priyankagandhi   @RahulGandhi",FALSE,0,NA,2020-06-01 12:33:05,FALSE,NA,"1267433990107148288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vinodku62740058",4,TRUE,FALSE,NA,NA
"5","RT @INC_Rituparna: Narendra Modi 57.8 M followers
Rahul Gandhi 14.4 M followers

First task of congress suppoters is to beat this. 

BoTs<U+0001F47E>…",FALSE,0,NA,2020-06-01 12:33:05,FALSE,NA,"1267433990098583552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shifini1",4,TRUE,FALSE,NA,NA
"6","RT @SukharamP: I request Rajasthan Goverment... Should be regulation for panchayat assistant... 
#<U+092A><U+0902><U+091A><U+093E><U+092F><U+0924>_<U+0938><U+0939><U+093E><U+092F><U+0915>_<U+0915><U+094B>_<U+0928><U+093F><U+092F><U+092E><U+093F><U+0924>_<U+0915><U+0930><U+094B>
@ashokgehlot51…",FALSE,0,NA,2020-06-01 12:33:00,FALSE,NA,"1267433969814913025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sunilku77507977",5,TRUE,FALSE,NA,NA
"7","RT @shenaz_irani: @HarrisD63432503 @RahulGandhi @priyankagandhi @asmatasleem11 @Z_P_Special @BhavikaKapoor5 @kukk44 @dennisckurian @scrapra…",FALSE,0,NA,2020-06-01 12:32:58,FALSE,NA,"1267433958930812928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mb1qevVyv3jXyBs",5,TRUE,FALSE,NA,NA
"8","RT @HarrisD63432503: @shenaz_irani @RahulGandhi @priyankagandhi @asmatasleem11 @Z_P_Special @BhavikaKapoor5 @kukk44 @dennisckurian @scrapra…",FALSE,0,NA,2020-06-01 12:32:48,FALSE,NA,"1267433918724280323",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mb1qevVyv3jXyBs",2,TRUE,FALSE,NA,NA
"9","RT @rakeshgilla: #<U+090F><U+0915>_<U+0939><U+0940>_<U+092E><U+093E><U+0901><U+0917>_cbi we want justice
Public wants fare investigation 
@RajCMO
@ChuruPolice
@zeerajasthan_
@1stIndiaNews
@indiat…",FALSE,0,NA,2020-06-01 12:32:48,FALSE,NA,"1267433918120124416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobinGodara5",35,TRUE,FALSE,NA,NA
"10","@himantabiswa @narendramodi @RahulGandhi Dear @himantabiswa ,  World knows that you are a man of equivocal skills.… https://t.co/rLAnwXH6JR",FALSE,0,"himantabiswa",2020-06-01 12:32:47,TRUE,"1267356778125115394","1267433913166659585","131188226","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Krishna70923140",0,FALSE,FALSE,NA,NA
